what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1455389786581
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1455389786581
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1455389786583
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1455389786584
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1455389786585
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1455389786586
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.help.ui",1455389786587
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1455389786588
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1455389786588
stopped,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1455389786588
stopped,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1455389786588
stopped,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1455389786588
stopped,bundle,org.eclipse.cdt.debug.ui.memory.transport,2.1.0.201102110609,"org.eclipse.cdt.debug.ui.memory.transport",1455389786589
stopped,bundle,org.eclipse.linuxtools.rpm.ui,0.4.3.201101251503,"org.eclipse.linuxtools.rpm.ui",1455389786590
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1455389801292
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1455389801294
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1455389801295
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1455389801296
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1455389801296
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1455389801298
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1455389801299
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1455389801301
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1455389801301
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1455389801302
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1455389801304
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1455389801305
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1455389801305
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1455389801306
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1455389801306
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1455389801307
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1455389801308
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1455389801308
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1455389801309
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1455389801310
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1455389801310
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1455389801311
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1455389801312
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1455389801312
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1455389801313
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1455389801313
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1455389801314
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1455389801314
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1455389801315
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1455389801316
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1455389801316
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1455389801317
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1455389801318
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1455389801318
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1455389801319
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1455389801319
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1455389801320
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1455389801320
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1455389801321
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1455389801321
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1455389801322
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1455389801322
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1455389801323
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1455389801323
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1455389801324
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1455389801325
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1455389801327
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1455389801328
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1455389801328
started,bundle,org.eclipse.linuxtools.cdt.autotools,2.0.0.201101251503,"org.eclipse.linuxtools.cdt.autotools",1455389801329
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.1.201101251503,"org.eclipse.linuxtools.cdt.autotools.core",1455389801330
started,bundle,org.eclipse.linuxtools.systemtap.ui.dashboardextension,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.dashboardextension",1455389801330
started,bundle,org.eclipse.linuxtools.systemtap.ui.editor,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.editor",1455389801331
started,bundle,org.eclipse.linuxtools.systemtap.ui.graphicalrun,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.graphicalrun",1455389801331
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1455389801332
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1455389801333
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1455389801334
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1455389801334
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1455389801334
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1455389801335
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1455389801336
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1455389801336
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1455389801336
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1455389801337
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1455389801338
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1455389801339
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1455389801339
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1455389801340
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1455389801341
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1455389801343
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1455389801344
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1455389801345
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1455389801345
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1455389801346
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1455389801347
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1455389801348
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1455389801349
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1455389801350
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1455389801350
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1455389801351
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1455389801353
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1455389801354
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1455389801355
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1455389801356
os,sysinfo,,,"linux",1455389801361
arch,sysinfo,,,"x86_64",1455389801361
ws,sysinfo,,,"gtk",1455389801361
locale,sysinfo,,,"en_US",1455389801361
processors,sysinfo,,,"4",1455389801361
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1455389801361
java.runtime.version,sysinfo,,,"1.7.0_91-b02",1455389801361
java.specification.name,sysinfo,,,"Java Platform API Specification",1455389801361
java.specification.vendor,sysinfo,,,"Oracle Corporation",1455389801361
java.specification.version,sysinfo,,,"1.7",1455389801361
java.vendor,sysinfo,,,"Oracle Corporation",1455389801361
java.version,sysinfo,,,"1.7.0_91",1455389801361
java.vm.info,sysinfo,,,"mixed mode",1455389801361
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1455389801361
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1455389801361
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1455389801361
java.vm.specification.version,sysinfo,,,"1.7",1455389801361
java.vm.vendor,sysinfo,,,"Oracle Corporation",1455389801361
java.vm.version,sysinfo,,,"24.91-b01",1455389801361
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1455389804315
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1455389808976
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1455389812864
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1455389818026
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1455389818052
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1455389819106
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1455389822604
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455389825697
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1455389860363
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1455389860442
started,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201101251503,"org.eclipse.linuxtools.cdt.autotools.ui",1455389860571
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455389977411
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455389977716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455389979487
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455389980706
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390047658
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1455390050863
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390051219
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390052092
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1455390056668
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1455390056808
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1455390056842
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390056907
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390057614
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390057731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390059741
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1455390061231
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1455390063446
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390065208
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1455390069864
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1455390069902
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1455390069919
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1455390070100
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1455390070101
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390070133
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390076465
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390125241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390129658
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1455390136953
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1455390137027
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390137257
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1455390151660
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1455390161242
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1455390170139
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1455390198121
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390198497
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390198943
started,bundle,org.eclipse.linuxtools.profiling.launch,0.7.0.201101251503,"org.eclipse.linuxtools.profiling.launch",1455390200768
started,bundle,org.eclipse.linuxtools.callgraph.launch,0.0.1.201101251503,"org.eclipse.linuxtools.callgraph.launch",1455390200770
started,bundle,org.eclipse.linuxtools.oprofile.launch,0.3.0.201101251503,"org.eclipse.linuxtools.oprofile.launch",1455390200791
started,bundle,org.eclipse.linuxtools.valgrind.core,0.7.0.201101251503,"org.eclipse.linuxtools.valgrind.core",1455390200812
started,bundle,org.eclipse.linuxtools.valgrind.launch,0.7.0.201101251503,"org.eclipse.linuxtools.valgrind.launch",1455390200815
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1455390202978
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1455390205653
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390205980
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390206388
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390212490
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390214561
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390216394
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390232132
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390235081
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455390236590
stopped,bundle,org.eclipse.linuxtools.valgrind.massif,0.7.0.201101251503,"org.eclipse.linuxtools.valgrind.massif",1455390236945
stopped,bundle,org.eclipse.birt.chart.device.svg,2.6.2.r262_v20101230,"org.eclipse.birt.chart.device.svg",1455390236945
stopped,bundle,org.eclipse.birt.chart.device.extension,2.6.2.r262_v20110127,"org.eclipse.birt.chart.device.extension",1455390236946
stopped,bundle,org.eclipse.birt.chart.device.swt,2.6.2.r262_v20101209,"org.eclipse.birt.chart.device.swt",1455390236947
stopped,bundle,org.eclipse.birt.chart.engine.extension,2.6.2.r262_v20110113,"org.eclipse.birt.chart.engine.extension",1455390236947
stopped,bundle,org.eclipse.linuxtools.gcov,4.1.1.201101251503,"org.eclipse.linuxtools.gcov",1455390236948
stopped,bundle,org.eclipse.linuxtools.gprof,4.0.0.201101251503,"org.eclipse.linuxtools.gprof",1455390236949
stopped,bundle,org.eclipse.linuxtools.dataviewers.charts,4.1.0.201101251503,"org.eclipse.linuxtools.dataviewers.charts",1455390236950
stopped,bundle,org.eclipse.birt.chart.ui,2.6.2.r262_v20110127,"org.eclipse.birt.chart.ui",1455390236951
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.dashboardextension,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.dashboardextension",1455390236951
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.dashboard,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.dashboard",1455390236952
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphicalrun,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.graphicalrun",1455390236956
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.ide,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.ide",1455390236959
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphing,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.graphing",1455390236960
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphingapi.ui,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.graphingapi.ui",1455390236996
stopped,bundle,org.eclipse.birt.chart.engine,2.6.2.r262_v20110120,"org.eclipse.birt.chart.engine",1455390236997
stopped,bundle,org.eclipse.birt.core.ui,2.6.2.r262_v20101014,"org.eclipse.birt.core.ui",1455390236998
stopped,bundle,org.eclipse.birt.data.aggregation,2.6.2.r262_v20110127,"org.eclipse.birt.data.aggregation",1455390237005
stopped,bundle,org.eclipse.birt.data,2.6.2.r262_v20110215,"org.eclipse.birt.data",1455390237006
stopped,bundle,org.eclipse.birt.core,2.6.2.r262_v20110209,"org.eclipse.birt.core",1455390237008
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1455390237010
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1455390237011
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1455390237012
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1455390237016
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1455390237018
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1455390237020
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1455390237024
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1455390237025
stopped,bundle,org.eclipse.linuxtools.callgraph.launch,0.0.1.201101251503,"org.eclipse.linuxtools.callgraph.launch",1455390237025
stopped,bundle,org.eclipse.linuxtools.oprofile.launch,0.3.0.201101251503,"org.eclipse.linuxtools.oprofile.launch",1455390237025
stopped,bundle,org.eclipse.linuxtools.valgrind.cachegrind,0.7.0.201101251503,"org.eclipse.linuxtools.valgrind.cachegrind",1455390237025
stopped,bundle,org.eclipse.linuxtools.valgrind.memcheck,0.7.0.201101251503,"org.eclipse.linuxtools.valgrind.memcheck",1455390237026
stopped,bundle,org.eclipse.linuxtools.valgrind.launch,0.7.0.201101251503,"org.eclipse.linuxtools.valgrind.launch",1455390237026
stopped,bundle,org.eclipse.linuxtools.profiling.launch,0.7.0.201101251503,"org.eclipse.linuxtools.profiling.launch",1455390237026
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1455390237026
